losses/action_loss,losses/dist_entropy,losses/kl_loss,losses/value_loss,test/mean_episode_reward,test/median_episode_reward,train/mean_episode_reward,train/median_episode_reward,train/nupdates,train/total_num_steps
0.004058493136350687,1.892248456676801,0.012182365365636846,0.6369574094812075,3.1,2.0,3.4,3.0,128,2113536
0.0036037868606702736,1.8708126842975616,0.01896575737434129,0.7439097637931505,5.4,3.5,1.6,1.0,129,2129920
0.00018054798905116817,1.985898569226265,0.007148948129421721,0.3579221156736215,4.9,4.0,2.9,2.5,130,2146304
0.0016361499147024006,2.015238975485166,0.008081266443089893,0.41677312925457954,3.0,3.5,3.7,4.0,131,2162688
0.0026018911545785763,1.9701126019159954,0.015782334822385263,0.4424048239986102,3.2,3.5,4.6,4.0,132,2179072
0.00027677461427326006,2.1127795974413552,0.007965295032287637,0.2686891679962476,4.8,3.0,4.5,3.5,133,2195456
-0.0006653277087025344,2.1108488043149314,0.007275969507948806,0.257094228019317,5.0,4.5,5.3,4.5,134,2211840
0.0010880815098062158,2.1670824686686196,0.011365648281450072,0.254392954831322,4.2,3.5,3.6,3.0,135,2228224
-0.0011514367846151192,2.07080614566803,0.005759343524308254,0.27945633480946225,4.4,3.5,5.9,5.0,136,2244608
0.0018960680754389614,2.1055767039457955,0.008167120550448695,0.32215242087841034,3.9,4.0,5.1,4.5,137,2260992
0.0009277754773696264,2.0634632458289466,0.010110405778201917,0.3881932385265827,3.2,3.5,4.2,4.5,138,2277376
0.00016119051724672318,1.9962089757124584,0.01220078500530993,0.4269871537884076,4.6,4.0,6.0,6.5,139,2293760
0.0012318866210989654,1.9573237349589665,0.015003787392439941,0.4809476447602113,3.7,3.5,3.9,3.0,140,2310144
0.0013703098520636559,1.909778932730357,0.015950798833121855,0.5909918956458569,6.7,5.5,5.1,6.0,141,2326528
-0.0008186480651299158,2.02113184829553,0.008336685442676147,0.35079069683949154,3.6,2.5,4.1,3.0,142,2342912
-6.141445677106579e-05,2.0053301950295768,0.008130869207282862,0.3085543339451154,2.8,2.5,4.6,4.5,143,2359296
0.0008292706140006582,1.9738063017527263,0.008859915057352433,0.35911531125505763,6.4,5.0,3.7,4.0,144,2375680
0.0025630772579461336,1.9766648213068645,0.017914343314866226,0.3807932895918687,4.4,4.0,5.2,5.0,145,2392064
0.001747749144366632,1.9314145644505818,0.011630876765896877,0.4390372571845849,2.1,2.0,3.5,1.5,146,2408448
0.0014068282713803153,1.9506966173648834,0.01172502695893248,0.4115040587882201,3.7,4.0,4.2,4.5,147,2424832
0.0007694675587117672,1.9152912497520447,0.010289289445305863,0.4704773997267087,4.5,4.5,4.5,4.0,148,2441216
0.00031294799797857803,1.881602590282758,0.007896091575579097,0.5352850072085857,5.6,5.0,5.3,4.0,149,2457600
0.0009566018901144465,1.8887618482112885,0.011613217376482984,0.5389727304379145,3.8,3.0,4.2,2.5,150,2473984
-0.00045347370905801654,1.9688952614863713,0.00720632584610333,0.3229493349790573,3.5,3.0,4.0,4.0,151,2490368
-0.0001186081887378047,2.0111967623233795,0.009309841125893096,0.3003106601536274,3.6,3.0,2.0,2.0,152,2506752
0.000951161899138242,1.987825999657313,0.008924002856171379,0.33932284514109295,4.7,4.0,4.4,4.5,153,2523136
0.0006902630363280574,1.9503536621729534,0.0073424248257651925,0.3932800864179929,3.7,2.5,3.8,3.5,154,2539520
-3.722672893976172e-05,1.9278057167927425,0.008780657352569202,0.48031771058837575,2.3,1.5,5.5,5.5,155,2555904
0.001116095867473632,2.009385551015536,0.010238554483900467,0.31802887345353764,2.5,1.0,4.0,4.0,156,2572288
0.00137492313903446,2.008339062333107,0.0069704063547154265,0.33917755261063576,2.5,2.5,3.8,3.5,157,2588672
0.0009279553099380186,2.039107491572698,0.007817929164351275,0.276325981443127,4.5,5.0,6.7,6.5,158,2605056
4.105492068144182e-05,2.0973149240016937,0.007042814007339378,0.23440349164108434,4.0,3.5,4.3,3.5,159,2621440
0.0017829515078725915,2.1034681697686515,0.010417519738742461,0.23668227903544903,3.7,2.5,3.6,2.0,160,2637824
-0.0006328284507617354,2.187611699104309,0.006911501705568905,0.18739100297292074,3.3,1.5,4.6,3.0,161,2654208
0.0009595100224638978,2.2555299599965415,0.008757241109075645,0.1693302777906259,3.0,3.0,4.3,4.5,162,2670592
0.0003201216459274292,2.3094323774178824,0.010602116216129312,0.183808542167147,4.0,4.0,3.5,2.5,163,2686976
6.68779054346184e-05,2.3471854428450265,0.010382144964144876,0.19732347192863622,2.5,2.5,4.1,4.5,164,2703360
-0.00012765187420882285,2.3317437966664634,0.00775997190309378,0.19439837709069252,2.9,2.5,2.6,3.0,165,2719744
0.000768712954595685,2.3241804043451944,0.008361568354303017,0.21146880897382894,3.6,4.0,2.9,2.5,166,2736128
-0.0004817618755623698,2.259546081225077,0.0076149887560556335,0.22345449154575667,1.6,1.5,4.6,4.5,167,2752512
-0.000340191579501455,2.1816481947898865,0.007904020797771713,0.23970583826303482,4.1,4.0,5.0,3.5,168,2768896
0.0015072584113416572,2.1599953869978585,0.011189605769080421,0.2858340709159772,2.1,1.0,4.4,4.0,169,2785280
0.0021796974857958653,2.141036629676819,0.009069064884291341,0.3297082943220933,4.8,5.5,3.7,4.0,170,2801664
0.0005606377574925622,2.079636017481486,0.008760849149742475,0.34330465520421666,3.6,3.5,4.4,3.0,171,2818048
0.0014498355449177325,2.0406757245461145,0.010688019450753927,0.4169690969089667,2.8,2.0,4.5,4.5,172,2834432
0.0007647226254145304,1.9672591735919316,0.015492878116977712,0.4426245341698329,5.4,4.0,6.1,5.0,173,2850816
-0.0003521192605451991,1.9299151003360748,0.013252830404477814,0.580553246041139,5.1,5.5,4.9,5.5,174,2867200
0.0014947958601017792,1.926258350412051,0.021261374504926305,0.6262985567251841,2.7,3.0,5.1,5.0,175,2883584
0.0021540770734039447,1.9199839383363724,0.014709784765727818,0.7161973888675371,4.7,4.0,2.8,2.5,176,2899968
0.0003893790126312524,1.9865660319725673,0.010778595499383906,0.440487331400315,3.8,3.0,2.6,3.0,177,2916352
0.0016675051883794367,1.999474008878072,0.012891037001584968,0.4450986248751481,3.4,4.0,3.5,4.5,178,2932736
-0.0003065938556877275,2.0668335060278573,0.009323651397911211,0.2726791724562645,2.9,3.0,3.8,2.5,179,2949120
0.00042970430028314394,2.0393952329953513,0.008934184113362184,0.334168728441,3.4,3.5,2.6,3.0,180,2965504
0.0010773467753703396,2.0186408857504525,0.010202340820493797,0.33242563406626385,4.2,4.0,4.0,3.5,181,2981888
-0.000388597312849015,2.12089013059934,0.0070805012752922876,0.21670906183620295,2.2,2.0,5.4,3.5,182,2998272
0.0011129436704019706,2.139326055844625,0.010772517144990465,0.24721182882785797,4.0,3.5,3.9,4.5,183,3014656
0.004087841681515177,2.094619224468867,0.011040036760581037,0.2838923322657744,2.0,2.0,6.2,6.0,184,3031040
8.791258248190086e-05,2.1670729418595633,0.010794980393256992,0.2038339183976253,4.0,4.0,2.9,2.0,185,3047424
